OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
64,Lolo National Forest,170102130514,Clark Fork River-Ashley Creek,Functioning Properly,18123.9,46,54,Fair,Good,Good,Fair,Good,Good,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,8408.189
232,Beaverhead-Deerlodge National Forest,100200050201,Upper Big Pipestone Creek,Functioning at Risk,34752.0,86,15,Fair,Good,Poor,Good,Fair,Poor,Good,Good,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,29712.675000000003
237,Custer Gallatin National Forest,101303010104,Upper Crooked Creek,Functioning Properly,18033.100000000002,16,84,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,2962.465
277,Flathead National Forest,170102090702,Buck Creek,Functioning Properly,11373.5,100,0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,----,,,,,,,,,,,,0110,,,,11368.793
318,Helena-Lewis And Clark National Forest,100302010103,Upper South Fork Two Medicine River,Functioning Properly,22839.3,100,0,Poor,Good,Good,Good,Good,Good,Poor,Poor,Poor,Good,Poor,Fair,,,,,,,,,,,,0115,,,,22839.274
410,Helena-Lewis And Clark National Forest,100301030701,Upper Eagle Creek,Functioning Properly,13298.300000000001,65,35,Poor,Fair,Good,Good,Good,Fair,Good,Fair,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,8654.068000000001
418,Custer Gallatin National Forest,100700020102,Mulherin Creek,Functioning Properly,18355.100000000002,35,65,Fair,Good,Fair,Fair,Fair,Fair,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,6392.828
433,Helena-Lewis And Clark National Forest,100302050104,Lower North Fork Teton River,Functioning Properly,11086.1,67,33,Fair,Fair,Good,Good,Good,Good,Good,Good,Good,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,7425.04
501,Helena-Lewis And Clark National Forest,100301030102,Stud Horse Creek-North Fork Smith River,Functioning at Risk,29526.8,63,37,Poor,Fair,Good,Fair,Fair,Poor,Fair,Good,Fair,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,18638.021
534,Nez Perce-Clearwater National Forest,170602071103,Bull Creek-Salmon River,Functioning Properly,28096.4,99,1,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0117,,,,27936.678
753,Lolo National Forest,170102130604,Wilkes Creek,Functioning Properly,10106.6,96,4,Fair,Fair,Good,Good,Good,Fair,Good,Fair,Good,Fair,Fair,----,,,,,,,,,,,,0116,,,,9688.292000000001
813,Helena-Lewis And Clark National Forest,100301030605,Ellis Canyon,Functioning at Risk,10560.4,18,82,Fair,Fair,Good,Good,Fair,Poor,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,1906.6180000000002
914,Custer Gallatin National Forest,100200080902,Rocky Creek,Functioning Properly,21993.4,19,81,Fair,Good,Poor,Good,Fair,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,4154.087
948,Nez Perce-Clearwater National Forest,170603050103,Middle Red River,Functioning at Risk,23132.0,92,8,Good,Poor,Poor,Fair,Poor,Fair,Poor,Poor,Good,Fair,Good,Good,,,,,,,,,,,,0117,,,,21310.992
1099,Helena-Lewis And Clark National Forest,100301010104,Hay Creek,Functioning at Risk,9486.5,37,63,Fair,Fair,Good,Good,Good,Poor,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,3533.2360000000003
1225,Nez Perce-Clearwater National Forest,170602071001,Meadow Creek,Functioning at Risk,17795.600000000002,99,1,Good,Fair,Good,Good,Fair,Fair,Poor,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0117,,,,17631.029000000002
1288,Kootenai National Forest,170102130703,White Pine Creek,Functioning Properly,19989.4,97,3,Good,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,19353.064
1523,Idaho Panhandle National Forests,170102150102,Gold Creek,Functioning Properly,13643.1,100,0,Fair,Good,Fair,Good,Good,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,13642.915
1551,Beaverhead-Deerlodge National Forest,170102020702,Meadow Creek,Functioning Properly,14860.300000000001,93,7,Fair,Good,Good,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,13786.274000000001
1565,Bitterroot National Forest,170102051004,Gird Creek,Functioning at Risk,20733.3,48,53,Fair,Fair,Good,Fair,Fair,Fair,Good,Fair,Good,Good,Poor,Fair,,,,,,,,,,,,0103,,,,9853.03
1566,Nez Perce-Clearwater National Forest,170603070301,Osier Creek,Functioning at Risk,19836.600000000002,99,1,Good,Fair,Poor,Good,Fair,Poor,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0117,,,,19699.99
1610,Custer Gallatin National Forest,101303020405,Campbell Creek-Bull Creek,Functioning at Risk,13471.300000000001,48,52,Fair,Fair,Fair,Fair,Poor,Good,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,6410.9800000000005
1632,Flathead National Forest,170102070206,Middle Fork Flathead River-Cy Creek,Functioning Properly,17404.6,100,0,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,----,,,,,,,,,,,,0110,,,,17404.621
1643,Kootenai National Forest,170101060705,Headwaters Wigwam Creek,Functioning Properly,9648.1,67,33,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,6470.2300000000005
1647,Custer Gallatin National Forest,101303050403,Point Creek,Functioning Properly,17552.4,13,87,Good,Good,Good,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,2318.962
1679,Nez Perce-Clearwater National Forest,170603070102,Long Creek,Functioning Properly,17912.100000000002,100,0,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,17912.122
2025,Nez Perce-Clearwater National Forest,170603020107,Middle North Fork Moose Creek,Functioning Properly,10682.4,100,0,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,----,,,,,,,,,,,,0117,,,,10682.398
1785,Helena-Lewis And Clark National Forest,100301030601,North Fork Rock Creek,Functioning at Risk,8400.0,11,89,Fair,Fair,Good,Good,Fair,Poor,Fair,Fair,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,929.6020000000001
1855,Lolo National Forest,170102040501,Upper South Fork Fish Creek,Functioning at Risk,10289.1,97,3,Poor,Fair,Good,Fair,Poor,Fair,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,9970.466
1936,Custer Gallatin National Forest,100902070204,Plum Creek-Powder River,Functioning Properly,22554.9,25,75,Good,Good,Good,Fair,Good,Good,Fair,Good,Poor,Good,Fair,Good,,,,,,,,,,,,0111,,,,5697.955
2026,Nez Perce-Clearwater National Forest,170603070502,Middle Weitas Creek,Functioning Properly,34827.9,100,0,Good,Good,Good,Good,Good,Fair,Good,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,34827.861
2027,Nez Perce-Clearwater National Forest,170603020403,Rackliff Creek-Selway River,Functioning Properly,17872.7,99,1,Good,Fair,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,17743.487
2191,Helena-Lewis And Clark National Forest,170102030305,Lincoln Creek,Functioning at Risk,7554.2,74,26,Fair,Fair,Fair,Good,Fair,Poor,Fair,Poor,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,5615.829000000001
2229,Helena-Lewis And Clark National Forest,100301012003,Missouri River-Upper Holter Lake,Functioning at Risk,17596.7,52,48,Poor,Fair,Fair,Good,Good,Poor,Good,Poor,Poor,Good,Fair,Fair,,,,,,,,,,,,0115,,,,9092.253
2467,Nez Perce-Clearwater National Forest,170602090203,Kelly Creek-Salmon River,Functioning Properly,24436.3,79,21,Good,Good,Fair,Good,Good,Fair,Fair,Fair,Good,Good,Fair,Fair,,,,,,,,,,,,0117,,,,19403.142
2355,Custer Gallatin National Forest,100700020107,Slip and Slide Creek-Yellowstone River,Functioning Properly,16936.1,82,18,Good,Fair,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,13872.668
2359,Beaverhead-Deerlodge National Forest,100200041001,North Fork Divide Creek,Functioning at Risk,19315.3,86,14,Good,Fair,Good,Good,Fair,Poor,Good,Good,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,16554.082000000002
2442,Nez Perce-Clearwater National Forest,170601010205,Kurry Creek-Snake River,Functioning Properly,15082.800000000001,100,0,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,Poor,,,,,,,,,,,,0117,,,,15082.796
2471,Nez Perce-Clearwater National Forest,170602071002,Anchor Creek-Wind River,Functioning Properly,23709.600000000002,100,0,Good,Fair,Good,Good,Good,Good,Poor,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,23615.303
2547,Custer Gallatin National Forest,101102011004,Russell Creek,Functioning Properly,16090.2,34,66,Good,Fair,Good,Good,Good,Good,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0111,,,,5530.447
2566,Helena-Lewis And Clark National Forest,100301011803,Marsh Creek-Little Prickley Pear Creek,Functioning at Risk,17160.9,30,70,Poor,Fair,Poor,Good,Fair,Poor,Good,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,5136.841
2601,Bitterroot National Forest,170602070401,Hamilton Creek,Functioning Properly,21538.7,100,0,Good,Fair,Good,Fair,Good,Good,Good,Fair,Good,Fair,Fair,Fair,,,,,,,,,,,,0103,,,,21538.708
2659,Nez Perce-Clearwater National Forest,170602100404,Lower Rapid River,Functioning Properly,16512.3,75,26,Good,Poor,Good,Good,Fair,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0117,,,,12295.792
2786,Custer Gallatin National Forest,100301010202,Lower South Fork Sixteenmile Creek,Functioning Properly,14463.4,21,79,Poor,Good,Good,Good,Fair,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,2987.275
2841,Helena-Lewis And Clark National Forest,100402011301,Upper East Fork Roberts Creek,Functioning Properly,34749.7,8,92,Good,Fair,Good,Good,Good,Good,Good,Fair,Good,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,2680.456
3046,Helena-Lewis And Clark National Forest,100401030402,Lower South Fork Judith River,Functioning at Risk,21793.4,91,9,Fair,Fair,Poor,Fair,Poor,Poor,Fair,Fair,Fair,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,19883.465
2869,Beaverhead-Deerlodge National Forest,170102010801,Rock Creek,Functioning Properly,27836.8,69,31,Fair,Good,Good,Fair,Good,Good,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,19309.553
2998,Custer Gallatin National Forest,101303020204,Meathook Creek,Functioning Properly,16619.5,8,92,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,1397.334
3019,Custer Gallatin National Forest,100700030403,Upper Brackett Creek,Functioning at Risk,27604.5,32,68,Poor,Good,Good,Good,Fair,Fair,Fair,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,8835.203
3114,Helena-Lewis And Clark National Forest,170102010601,North Trout Creek,Functioning at Risk,10534.6,31,69,Fair,Poor,Good,Good,Poor,Poor,Fair,Fair,Good,Fair,Good,Fair,,,,,,,,,,,,0115,,,,3302.315
3219,Lolo National Forest,170102040612,Clark Fork River-Johnson Creek,Functioning at Risk,17551.8,65,35,Fair,Fair,Good,Fair,Poor,Fair,Fair,Good,Good,Good,Fair,Good,,,,,,,,,,,,0116,,,,11474.348
3265,Nez Perce-Clearwater National Forest,170603080404,Salmon Creek-North Fork Clearwater River,Functioning Properly,37672.200000000004,40,60,Good,Good,Good,Poor,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,15034.385
3398,Nez Perce-Clearwater National Forest,170603010602,Upper Bear Creek,Functioning Properly,18014.4,100,0,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,18013.617
3743,Custer Gallatin National Forest,100901020603,Middle Beaver Creek,Functioning at Risk,18883.2,45,56,Fair,Fair,Good,Fair,Fair,Fair,Fair,Fair,Poor,Good,Good,Good,,,,,,,,,,,,0111,,,,8403.606
3520,Bitterroot National Forest,170603010102,Wilkerson Creek,Functioning Properly,27428.4,100,0,Good,Fair,Good,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,,,,,,,,,,,,0103,,,,27428.422
3604,Lolo National Forest,170102130508,Buffalo Bill Creek,Functioning at Risk,14457.2,86,14,Poor,Fair,Good,Good,Fair,Fair,Fair,Good,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,12486.057
3620,Nez Perce-Clearwater National Forest,170602070702,Big Mallard Creek,Functioning Properly,36525.4,99,1,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,36021.013
3910,Nez Perce-Clearwater National Forest,170602090402,Fiddle Creek-Salmon River,Functioning at Risk,24696.600000000002,38,62,Good,Poor,Good,Fair,Fair,Poor,Fair,Fair,Good,Good,Good,Poor,,,,,,,,,,,,0117,,,,9435.315
3949,Helena-Lewis And Clark National Forest,100301040105,Gates Creek,Functioning Properly,9137.9,100,0,Fair,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0115,,,,9137.907000000001
3962,Idaho Panhandle National Forests,170101040708,Brush Creek-Kootenai River,Functioning at Risk,25124.8,50,50,Fair,Fair,Poor,Fair,Fair,Good,Good,Good,Fair,Good,Good,Good,,,,,,,,,,,,0104,,,,12512.49
3964,Idaho Panhandle National Forests,170102140303,Upper Cocolalla Creek,Functioning at Risk,27150.7,14,86,Poor,Fair,Poor,Fair,Poor,Fair,Good,Good,Fair,Good,Good,Fair,,,,,,,,,,,,0104,,,,3870.295
3983,Helena-Lewis And Clark National Forest,100301030905,Bear Gulch-Smith River,Functioning at Risk,17758.600000000002,62,39,Poor,Good,Fair,Poor,Fair,Good,Good,Fair,Good,Fair,Poor,Good,,,,,,,,,,,,0115,,,,10929.412
4215,Kootenai National Forest,170101010901,Sink Creek,Functioning Properly,7882.400000000001,23,77,Good,Poor,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,,,,,,,,,,,,0114,,,,1836.943
4086,Idaho Panhandle National Forests,170103010401,Flat Creek-Middle North Fork Coeur d'Alene River,Functioning at Risk,32274.0,99,1,Good,Fair,Poor,Good,Fair,Poor,Fair,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,32052.359
4152,Helena-Lewis And Clark National Forest,170102030302,Poorman Creek,Impaired Function,25794.600000000002,92,8,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Good,Good,Fair,Fair,Fair,,,,,,,,,,,,0115,,,,23647.350000000002
4159,Lolo National Forest,170102051404,Howard Creek,Impaired Function,12395.9,100,0,Poor,Fair,Good,Good,Fair,Poor,Poor,Fair,Poor,Good,Poor,----,,,,,,,,,,,,0116,,,,12395.948
4228,Nez Perce-Clearwater National Forest,170603040101,South Fork Clear Creek,Functioning at Risk,16626.7,100,0,Good,Fair,Poor,Good,Fair,Fair,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,16626.713
4266,Helena-Lewis And Clark National Forest,100401030101,Headwaters Ross Fork Creek,Functioning Properly,33077.8,5,95,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Poor,Good,,,,,,,,,,,,0115,,,,1789.394
4468,Idaho Panhandle National Forests,170103020302,Big Creek,Functioning Properly,19088.9,82,18,Fair,Good,Fair,Good,Fair,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,15588.84
4524,Custer Gallatin National Forest,100200080701,Wilson Creek-Gallatin River,Functioning Properly,19069.100000000002,35,65,Poor,Good,Good,Good,Good,Fair,Poor,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,6685.888
4533,Beaverhead-Deerlodge National Forest,100200011101,Headwaters Horse Prairie Creek,Functioning at Risk,10958.6,70,30,Poor,Good,Poor,Fair,Fair,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,7625.147
4559,Dakota Prairie Grasslands,101101011002,Lower Sand Creek,Functioning at Risk,26046.3,41,59,Fair,Poor,Fair,Good,Good,Poor,Poor,Good,----,Good,Good,Fair,,,,,,,,,,,,0118,,,,10596.899
4564,Helena-Lewis And Clark National Forest,100301040503,Blubber Creek,Functioning at Risk,14788.300000000001,5,95,Fair,Fair,Good,Fair,Fair,Good,Poor,Poor,Good,Fair,Good,Good,,,,,,,,,,,,0115,,,,764.037
4786,Custer Gallatin National Forest,100200080801,Upper Bridger Creek,Functioning at Risk,30621.7,20,80,Poor,Good,Poor,Good,Fair,Good,Poor,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,6225.409000000001
4587,Custer Gallatin National Forest,101303050207,Sheep Creek,Functioning Properly,16287.7,9,91,Good,Fair,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,1496.462
4641,Idaho Panhandle National Forests,170101040705,Trout Creek,Functioning Properly,12453.5,100,0,Good,Good,Fair,Good,Good,Fair,Good,Good,Good,Good,Fair,Good,,,,,,,,,,,,0104,,,,12422.426
4680,Custer Gallatin National Forest,101102010706,Waterhole Creek-Little Missouri River,Functioning Properly,41162.4,8,92,Good,Fair,Good,Fair,Fair,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,3209.331
4798,Custer Gallatin National Forest,101303020504,Prairie Dog Creek-South Fork Grand River,Functioning Properly,17776.0,10,90,Good,Fair,Good,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,1854.8010000000002
4896,Custer Gallatin National Forest,100200080108,Lower Taylor Creek,Functioning Properly,28154.3,96,4,Poor,Good,Fair,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,26975.251
4908,Flathead National Forest,170102080202,Upper Ashley Creek,Functioning Properly,15585.9,8,92,Poor,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0110,,,,1279.842
4984,Nez Perce-Clearwater National Forest,170602090304,Lower Slate Creek,Functioning at Risk,32047.9,82,18,Good,Poor,Good,Fair,Fair,Poor,Good,Fair,Good,Good,Good,Poor,,,,,,,,,,,,0117,,,,26172.133
5457,Lolo National Forest,170102031007,Seeley Lake,Functioning at Risk,24114.100000000002,55,45,Poor,Fair,Fair,Good,Poor,Fair,Fair,Fair,Fair,Good,Fair,----,,,,,,,,,,,,0116,,,,13303.569
5167,Nez Perce-Clearwater National Forest,170603070204,Middle Cayuse Creek,Functioning Properly,17832.2,100,0,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,17832.207000000002
5184,Dakota Prairie Grasslands,101102031202,Blacktail Creek,Functioning at Risk,25069.0,57,43,Fair,Fair,Good,Fair,Fair,Fair,Poor,Good,Good,Good,Good,Poor,,,,,,,,,,,,0118,,,,14386.998
5276,Custer Gallatin National Forest,101102011005,Terrell Creek-Little Beaver Creek,Functioning Properly,35998.8,6,94,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Fair,Good,,,,,,,,,,,,0111,,,,2097.411
5468,Helena-Lewis And Clark National Forest,100301030404,Middle Sheep Creek,Functioning at Risk,21231.2,74,26,Poor,Fair,Poor,Fair,Good,Poor,Fair,Fair,Good,Fair,Poor,Fair,,,,,,,,,,,,0115,,,,15671.643
5471,Nez Perce-Clearwater National Forest,170602090206,Berg Creek-Salmon River,Functioning Properly,18720.8,45,56,Good,Fair,Good,Good,Fair,Fair,Fair,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0117,,,,8337.219000000001
5475,Nez Perce-Clearwater National Forest,170603030106,Lower Crooked Fork Creek,Functioning at Risk,21135.7,56,44,Good,Poor,Good,Good,Good,Poor,Fair,Poor,Good,Good,Good,Poor,,,,,,,,,,,,0117,,,,11811.258
5510,Lolo National Forest,170102040502,Burdette Creek,Functioning Properly,11489.7,100,1,Fair,Fair,Good,Fair,Fair,Good,Good,Fair,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,11427.651
5559,Custer Gallatin National Forest,100700020805,Lower West Boulder River,Functioning Properly,30786.2,17,83,Poor,Good,Good,Good,Good,Good,Poor,Good,Poor,Good,Good,Good,,,,,,,,,,,,0111,,,,5302.372
5603,Nez Perce-Clearwater National Forest,170601010105,Sheep Creek,Functioning Properly,25893.5,100,0,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Poor,,,,,,,,,,,,0117,,,,25893.531
5609,Nez Perce-Clearwater National Forest,170601080104,Big Creek,Functioning at Risk,10295.800000000001,28,72,Poor,Fair,Poor,Good,Good,Poor,Fair,Good,Poor,Good,Good,Fair,,,,,,,,,,,,0117,,,,2905.0730000000003
5616,Idaho Panhandle National Forests,170103010604,Copper Creek-Lower Little North Fork Coeur d'Alene River,Functioning at Risk,35020.9,99,1,Fair,Fair,Fair,Good,Fair,Poor,Fair,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,34560.955
5651,Bitterroot National Forest,170102051302,Kootenai Creek,Functioning Properly,20181.2,95,5,Fair,Good,Fair,Fair,Fair,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0103,,,,19160.042
5847,Custer Gallatin National Forest,100700020506,Mission Creek,Functioning Properly,18308.0,49,51,Fair,Good,Good,Fair,Good,Fair,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,8984.178
5733,Flathead National Forest,170102070105,Schafer Creek,Functioning Properly,16136.9,100,0,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Fair,Good,----,,,,,,,,,,,,0110,,,,16136.867
5736,Helena-Lewis And Clark National Forest,100301030208,Little Birch Creek,Functioning Properly,9855.2,13,87,Fair,Good,Good,Good,Fair,Poor,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0115,,,,1237.334
5828,Custer Gallatin National Forest,100700050302,Middle East Rosebud Creek,Functioning Properly,37208.9,85,15,Poor,Good,Good,Fair,Good,Fair,Good,Good,Fair,Good,Good,Good,,,,,,,,,,,,0111,,,,31617.942
5864,Dakota Prairie Grasslands,090202040601,City of Power-Sheyenne River,Functioning at Risk,29188.8,19,81,Fair,Good,Fair,Fair,Good,Poor,Good,Good,----,Good,Poor,Fair,,,,,,,,,,,,0118,,,,5534.604
6008,Beaverhead-Deerlodge National Forest,100200020301,Middle Fork Blacktail Deer Creek,Functioning Properly,10006.0,19,81,Poor,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,1881.958
6086,Nez Perce-Clearwater National Forest,170602090302,Lower Little Slate Creek,Functioning Properly,15875.4,100,0,Good,Fair,Good,Good,Fair,Good,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0117,,,,15875.448
6088,Nez Perce-Clearwater National Forest,170602090204,Allison Creek,Functioning at Risk,12899.9,96,4,Good,Good,Poor,Good,Good,Poor,Poor,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0117,,,,12366.002
6105,Custer Gallatin National Forest,100901020210,Brian Creek-Otter Creek,Functioning at Risk,36063.0,71,29,Fair,Fair,Good,Fair,Fair,Fair,Good,Fair,Poor,Good,Good,Good,,,,,,,,,,,,0111,,,,25684.123
6117,Helena-Lewis And Clark National Forest,100301011807,Lower Canyon Creek,Functioning Properly,17516.3,6,94,Fair,Good,Good,Good,Good,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0115,,,,1065.829
6132,Flathead National Forest,170102090603,Hungry Horse Reservoir-Soldier Creek,Functioning Properly,18016.2,100,0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Fair,----,,,,,,,,,,,,0110,,,,18016.232
6228,Idaho Panhandle National Forests,170102140105,Rapid Lightning Creek,Functioning at Risk,31171.8,34,66,Fair,Fair,Fair,Good,Fair,Fair,Good,Fair,Fair,Good,Good,Good,,,,,,,,,,,,0104,,,,10524.228
6501,Lolo National Forest,170102040608,Lower Trout Creek,Functioning at Risk,17646.3,97,3,Fair,Fair,Fair,Fair,Poor,Fair,Good,Good,Good,Good,Fair,----,,,,,,,,,,,,0116,,,,17183.292
6313,Dakota Prairie Grasslands,101303010502,Lower Horse Creek,Functioning Properly,27564.2,9,91,Fair,Good,Good,Fair,Fair,Poor,Good,Good,----,Good,Good,Fair,,,,,,,,,,,,0118,,,,2456.5860000000002
6411,Dakota Prairie Grasslands,101102031306,Jules Creek-Little Missouri River,Functioning Properly,17320.9,6,94,Fair,Good,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,Poor,,,,,,,,,,,,0118,,,,1111.758
6424,Beaverhead-Deerlodge National Forest,170102010201,Basin Creek,Functioning Properly,26764.2,51,49,Fair,Good,Good,Poor,Fair,Fair,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,13684.749
6520,Custer Gallatin National Forest,101303050205,Ash Creek,Functioning Properly,10149.9,7,93,Good,Good,Good,Good,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0111,,,,750.051
6538,Nez Perce-Clearwater National Forest,170603010501,Upper Running Creek,Functioning Properly,24368.4,100,0,Good,Good,Good,Good,Good,Good,Good,Poor,Good,Good,Good,----,,,,,,,,,,,,0117,,,,24368.41
6539,Nez Perce-Clearwater National Forest,170602070901,Upper Crooked Creek,Functioning at Risk,17436.7,99,2,Good,Poor,Fair,Good,Poor,Good,Fair,Fair,Good,Good,Good,Good,,,,,,,,,,,,0117,,,,17168.591
6609,Helena-Lewis And Clark National Forest,100402011801,Headwaters Currant Creek,Functioning Properly,30140.4,8,92,Good,Good,Good,Good,Good,Good,Fair,Fair,Good,Good,Fair,----,,,,,,,,,,,,0115,,,,2525.994
6686,Beaverhead-Deerlodge National Forest,170102020202,Flint Creek-Philipsburg,Functioning Properly,24190.2,9,91,Fair,Good,Fair,Good,Good,Poor,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,2221.833
6976,Idaho Panhandle National Forests,170101040403,Trail Creek-Deep Creek,Functioning at Risk,20073.2,13,87,Fair,Fair,Fair,Fair,Fair,Poor,Good,Good,Good,Fair,Fair,Fair,,,,,,,,,,,,0104,,,,2570.5
