OBJECTID,FOREST_NAME,WATERSHED_CODE,WATERSHED_NAME,WATERSHED_CONDITION_FS_AREA,TOTAL_WATERSHED_AREA_ACRES,FS_OWNERSHIP_PERCENT,NONFS_AREA_PERCENT,AQUATIC_BIOTA_CONDITION,RIPARIAN_WETLAND_VEG_CONDITION,WATER_QUALITY_CONDITION,WATER_QUANTITY_CONDITION,AQUATIC_HABITAT_CONDITION,ROADS_AND_TRAILS_CONDITION,SOIL_CONDITION,FIRE_EFFECTS_REGIME_CONDITION,FOREST_COVER_CONDITION,FOREST_HEALTH_CONDITION,INVASIVE_SPECIES_CONDITION,RANGELAND_VEGETATION_CONDITION,YEAR_PRIORITY_IDENTIFIED,PRINCIPAL_REASON,SELECTION_NARRATIVE,KNOWN_PARTNERS,APPROVAL_DATE,ESTIMATED_COMPLETION_DATE,ESSENTIAL_PROJECT_COUNT,ESSENTIAL_PROJECT_EST_COST,ACTUAL_COMPLETION_DATE,RESTORATION_ACTION_PLAN,RESTORATION_ACTION_PLAN_IND,FS_UNIT_ID,WRAP_NAME,WRAP_APPROVAL_DATE,ACCOMPLISH_REPORT_IND,USFS_OWNERSHIP_ACRES
13348,Beaverhead-Deerlodge National Forest,100200050104,Cherry Creek-Jefferson River,Functioning Properly,34526.4,17,83,Poor,Good,Good,Good,Good,Poor,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,5871.716
13411,Beaverhead-Deerlodge National Forest,100200040503,Lower Trail Creek,Functioning Properly,17036.5,98,2,Poor,Good,Poor,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,16703.878
13424,Beaverhead-Deerlodge National Forest,170102010802,Willow Creek,Functioning Properly,9571.800000000001,40,60,Fair,Good,Good,Fair,Fair,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0102,,,,3870.333
13427,Beaverhead-Deerlodge National Forest,100200070803,Ruby Creek,Functioning at Risk,20611.2,94,6,Fair,Fair,Poor,Fair,Fair,Good,Good,Good,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,19394.472
13454,Beaverhead-Deerlodge National Forest,170102010805,Pikes Peak Gulch,Functioning Properly,10189.7,58,42,Fair,Good,Good,Good,Good,Poor,Good,Fair,Good,Fair,Good,Good,,,,,,,,,,,,0102,,,,5882.268
13457,Kootenai National Forest,170101030501,Burnt Creek,Functioning Properly,13833.5,100,0,Good,Good,Good,Good,Good,Fair,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,13827.86
13497,Beaverhead-Deerlodge National Forest,100200040508,Mussigbrod Creek,Functioning at Risk,17078.6,75,25,Fair,Fair,Poor,Fair,Fair,Fair,Good,Fair,Good,Good,Good,Fair,,,,,,,,,,,,0102,,,,12854.446
13502,Beaverhead-Deerlodge National Forest,100200070804,Corral Creek-Madison River,Functioning Properly,28923.7,19,81,Fair,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0102,,,,5417.953
13503,Idaho Panhandle National Forests,170103040305,Eagle Creek-St Joe River,Functioning Properly,37082.9,80,20,Fair,Good,Good,Good,Fair,Fair,Good,Good,Good,Good,Good,Good,,,,,,,,,,,,0104,,,,29570.400999999998
13507,Kootenai National Forest,170101030305,South Fork Yaak River,Functioning Properly,40473.3,95,5,Fair,Good,Fair,Fair,Good,Good,Good,Fair,Good,Good,Good,Good,,,,,,,,,,,,0114,,,,38459.285
