pc1_hydrogroups,pc2_hydrogroups,pc3_hydrogroups,pc4_hydrogroups,pc5_hydrogroups,pc6_hydrogroups,pc1_swe,pc2_swe,pc3_swe,pc4_swe,pc1_all_variables,pc2_all_variables,pc3_all_variables,pc4_all_variables,pc5_all_variables,pc6_all_variables,pc7_all_variables,pc8_all_variables,pc9_all_variables,pc10_all_variables,pc11_all_variables,pc12_all_variables,pc13_all_variables,pc14_all_variables,pc15_all_variables,pc16_all_variables,pc17_all_variables,pc18_all_variables,pc19_all_variables,pc20_all_variables,pc21_all_variables,pc22_all_variables,pc23_all_variables,pc24_all_variables,pc25_all_variables,pc26_all_variables,pc27_all_variables,pc28_all_variables,pc29_all_variables,us_tmax_1981_2010_int_cpg_all,us_precip_1981_2010_cpg_all,twi_100_int_cpg_all,swe_avg_0801_cpg_all,swe_avg_0701_cpg_all,swe_avg_0601_cpg_all,swe_avg_0501_cpg_all,swe_avg_0401_cpg_all,swe_avg_0301_cpg_all,streamslope_percent_int_cpg_all,slope_percent_int_cpg_all,silt_100_cpg_all,sep_et_2000_2015_cpg_all,sand_100_cpg_all,permeable_100_cpg_all,nlcd_2011_wetlands_100_cpg_all,nlcd_2011_forest_100_cpg_all,jul_et_2000_2015_cpg_all,impermeable_100_cpg_all,hydrogrp_d_100_cpg_all,hydrogrp_c_100_cpg_all,hydrogrp_b_100_cpg_all,hydrogrp_a_100_cpg_all,fac_taudem_17all_int,dwta_cpg_all,clay_100_cpg_all,baseflow_index_cpg_all,awc_int_100_cpg_all,aug_et_2000_2015_cpg_all,stream,site,value_tons,y,x
346.5021667480469,119.05426025390625,-22.424280166625977,-10.778209686279297,-7.783804893493652,-0.2013809084892273,7.670282363891602,37.97708511352539,5.945942401885986,0.8790906667709351,-21454.755859375,-41448.140625,420.5605163574219,-251.53529357910156,-46.76068115234375,64.74635314941406,-107.5125503540039,10.131278991699219,60.216312408447266,27.264530181884766,129.6268310546875,13.29867935180664,-16.488567352294922,-8.459837913513184,-19.1496524810791,7.9893012046813965,3.2575511932373047,-17.75584602355957,6.566718578338623,-4.898587226867676,4.631071090698242,4.630245685577393,4.883062839508057,-0.3913094103336334,0.2518385052680969,0.21366679668426514,3.5920329093933105,0.5061045289039612,0.0184753630310297,735,129550,686,0,4,96,386,500,441,20,30,3601,10,5199,100,0,25,72,0,55,5,40,0,12891,201,1146,67,8,46,Skyland Creek,FL6009,6.210909090909091,-113.36000519697075,48.28224006464003
643.28289794921875,43.33386993408203,8.18945026397705,-0.39011678099632263,7.523931503295898,1.5845112800598145,46.396217346191406,72.61158752441406,7.591616630554199,1.0904879570007324,4854.18310546875,-59176.16015625,-239.4625244140625,-25.320213317871094,15.761116981506348,-73.7144546508789,26.608028411865234,84.71531677246094,19.956768035888672,8.408535957336426,-6.950195789337158,-22.709224700927734,-8.307901382446289,-0.9534856677055359,-6.071599960327148,2.0478675365448,-2.5313472747802734,-0.9077315926551819,4.787064552307129,9.353157997131348,0.45056256651878357,0.5505428910255432,-5.621603012084961,1.7259427309036255,0.12481940537691116,1.9168634414672852,-3.509186029434204,-0.5324026346206665,-0.032825157046318054,829,147284,654,2,58,266,555,645,558,30,48,4167,35,4768,16,0,76,132,83,94,0,6,0,39194,201,1010,73,8,103,Wounded Buck Lower,FL6003,33.632,-113.95492792934681,48.26160645001316
542.27410888671875,88.78362274169922,-11.584518432617188,1.1496278047561646,3.8609580993652344,-1.013584852218628,53.33975601196289,77.48058319091797,7.872465133666992,1.1268388032913208,-20035.859375,-59053.5859375,-166.60292053222656,-157.63290405273438,-71.61048889160156,-47.32060623168945,28.789831161499023,100.72713470458984,46.90192794799805,0.6831309795379639,-18.911605834960938,-33.011905670166016,5.429803848266602,4.689096450805664,-10.776161193847656,1.9218909740447998,-2.5239439010620117,-7.698388576507568,6.072397232055664,7.722440719604492,-1.330694556236267,-0.22947759926319122,-6.654084205627441,-0.7954593896865845,0.24267052114009857,2.344524621963501,-3.569648504257202,-0.6919822096824646,-0.05921950936317444,841,147155,649,1,24,194,498,601,524,27,47,4062,35,4808,4,0,71,133,96,100,0,0,0,14304,201,1096,73,8,103,Wounded Buck Upper,FL6014,15.272,-113.95626249586967,48.243245426305954
177.64138793945313,59.878170013427734,-19.776351928710938,-11.449219703674316,-0.5282109975814819,0.14882679283618927,29.037370681762695,60.43911361694336,6.889495849609375,0.9996110796928406,176702.21875,-29417.291015625,167.6591796875,-52.625823974609375,-129.01803588867188,72.76984405517578,-36.89451599121094,-12.774466514587402,28.977615356445313,27.530685424804688,-24.685791015625,-26.678260803222656,14.921151161193848,13.5186767578125,7.259104251861572,9.86437702178955,-3.0809359550476074,-10.40863037109375,4.454275131225586,4.228226184844971,0.8300244212150574,-1.6832443475723267,0.8331862092018127,0.2987924814224243,-0.11439624428749084,-0.8400185704231262,-1.5747536420822144,-0.1824394166469574,-0.016299212351441383,815,117586,679,0,8,86,296,384,339,23,39,3822,28,5009,0,0,82,113,100,79,0,21,0,211052,196,1149,73,8,88,Big Creek at Lookout Bridge,FL7012,81.315,-114.22618797214525,48.59771274315873
339.0323486328125,38.175270080566406,-29.501728057861328,-8.16468620300293,0.08131852746009827,-0.2976168692111969,52.182498931884766,76.66908264160156,7.825656890869141,1.120780348777771,96538.546875,-39393.48828125,-241.03663635253906,111.71773529052734,-87.6573257446289,61.89801025390625,-44.638397216796875,-22.82221794128418,33.31705856323242,43.664634704589844,-20.503292083740234,-22.61174201965332,24.042390823364258,3.298987865447998,11.275952339172363,8.670804977416992,-3.0522000789642334,-8.006624221801758,2.8038792610168457,3.7050249576568604,1.700806975364685,-0.28919413685798645,4.126407146453857,0.10056861490011215,-0.13088737428188324,0.6432817578315735,-1.7525261640548706,-0.21007144451141357,0.01164515595883131,756,127533,675,1,22,153,403,467,399,27,42,4176,30,4733,6,0,85,111,94,99,0,1,0,130885,201,1045,73,8,86,Coal Creek Lower,FL7011,28.358888888888888,-114.31758748975894,48.674826666659285
393.4198303222656,20.25169563293457,-37.84112548828125,-5.678256511688232,0.22158853709697723,-0.30408143997192383,53.33975601196289,77.48058319091797,7.872465133666992,1.1268388032913208,25533.5078125,-45248.12109375,-375.4459228515625,169.69049072265625,-95.5816879272461,48.76537322998047,-52.56778335571289,-38.70179748535156,26.529743194580078,48.707828521728516,-11.301899909973145,-14.477129936218262,31.456106185913086,-1.330868124961853,13.894341468811035,6.94467830657959,-2.3285744190216064,-7.683377265930176,3.2802894115448,2.9983065128326416,1.985528826713562,-0.35192063450813293,4.180333137512207,0.010158704593777657,-0.0763520896434784,1.0728646516799927,-1.642976999282837,-0.1288556009531021,0.03597576916217804,725,133363,677,1,27,182,445,490,413,26,42,4306,29,4648,14,0,86,110,86,100,0,0,0,59878,201,985,73,8,84,Coal Creek North Fork,FL7009,12.515,-114.37753118562237,48.691385443069194
452.63092041015625,34.56132125854492,-32.60124588012695,-5.763766765594482,0.6127610206604004,0.985215425491333,52.182498931884766,76.66908264160156,7.825656890869141,1.120780348777771,7036.4453125,-48037.11328125,-266.39117431640625,55.48442077636719,-46.48080825805664,64.04107666015625,-46.449867248535156,-33.27067565917969,36.37791061401367,31.104326248168945,-18.148971557617188,-18.94745635986328,23.11416244506836,4.916764736175537,7.888277530670166,5.211600303649902,-2.264629364013672,-6.817368984222412,2.2858517169952393,2.654039144515991,1.224021077156067,0.08366676419973373,3.9939210414886475,1.3619245290756226,-0.2660020589828491,1.2227071523666382,-2.6779239177703857,-0.3797498941421509,0.00570616964250803,705,136146,668,0,30,193,473,530,448,29,44,4190,25,4727,0,0,78,104,100,99,0,1,0,41380,201,1035,74,8,78,Coal Creek South Fork,FL7010,11.322222222222223,-114.40320047899183,48.677111490281824
508.8896179199219,-15.297175407409668,-28.763774871826172,-1.1598724126815796,8.717798233032227,-0.2303905189037323,45.23896026611328,71.80009460449219,7.544808387756348,1.0844295024871826,119950.609375,-54458.41796875,-231.58042907714844,-98.664947509765625,-33.097755432128906,18.368701934814453,-53.558841705322266,-58.54855728149414,-1.261068344116211,51.251102447509766,11.542295455932617,-15.47815227508545,27.859798431396484,0.22046613693237305,13.597647666931152,-0.881667971611023,-2.7686169147491455,-2.515869617462158,5.436678409576416,7.970101833343506,3.226834297180176,-1.315712571144104,6.1100850105285645,-0.32283249497413635,0.0588185153901577,-1.3340011835098267,-2.5218124389648438,-0.3068583011627197,0.03485986217856407,686,142606,684,2,47,253,513,545,454,23,42,4105,27,4750,32,0,84,104,68,93,0,7,0,154292,201,1099,73,8,82,Whale Creek Lower,FL7002,16.330000000000002,-114.46252370384907,48.86447231424196
13.855969429016113,77.52516174316406,15.837503433227539,-4.57106876373291,-0.03030005842447281,0.28505316376686096,-62.38588333129883,-3.6692757606506348,3.1916582584381104,0.5209924578666687,264802.8125,-19233.35546875,1784.5673828125,-174.06973266601563,-159.81692504882813,-25.506513595581055,34.72724914550781,63.00605392456055,-19.476661682128906,-24.71756362915039,2.758300542831421,13.795465469360352,-15.184597969055176,4.274983882904053,6.316586494445801,4.557359218597412,-1.961560845375061,2.927293062210083,1.674511432647705,0.35950666666030884,2.205348491668701,-4.249536991119385,-0.014751352369785309,-0.16550537943840027,-0.133079394698143,-2.4890952110290527,0.7834181785583496,1.1023669242858887,0.06662487238645554,993,107432,649,0,2,32,172,294,294,29,45,2806,39,6235,14,0,94,128,86,0,0,100,0,299156,197,902,69,6,108,Vermillion River @ Red Bridge,KNF01,153,-115.52767640092883,47.84368316919896
-71.8164291381836,71.72608947753906,32.506290435791016,5.383504867553711,-1.307204008102417,0.09035289287567139,-44.64647674560547,3.650240898132324,-6.844006061553955,0.6743537187576294,101408.578125,-27499.142578125,1540.984619140625,-104.63827514648438,-350.5890808105469,-111.43257141113281,79.08353424072266,84.56586456298828,-12.312191009521484,-23.75741195678711,-25.06529426574707,-0.24365639686584473,-33.03414535522461,-2.454329490661621,3.639446973800659,-3.8162198066711426,6.406342029571533,5.32047176361084,2.6149520874023438,-4.040582656860352,-4.205021858215332,-1.6763627529144287,-5.27527379989624,-0.7064797878265381,-0.5099377632141113,-2.587054491043091,2.5296554565429688,0.2767137289047241,-0.4630836248397827,1077,115644,653,0,0,15,113,237,267,30,45,3026,42,6068,3,1,91,139,97,8,0,82,9,135759,199,824,67,7,117,Trout Creek,KNF02,104,-115.64338747916663,47.832353460876135
